question,pattern_id,slots_json
80-CBR04C229B5G의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""80-CBR04C229B5G""}"
"81-GCM188R71H104KA7D 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""81-GCM188R71H104KA7D""}"
81-GCM188R71H104KA7D의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""81-GCM188R71H104KA7D""}"
81-GCM188R71H104KA7D의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""81-GCM188R71H104KA7D""}"
"88AP320-C0-BGR2C806-TN31 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88AP320-C0-BGR2C806-TN31""}"
88AP320-C0-BGR2C806-TN31의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88AP320-C0-BGR2C806-TN31""}"
88AP320-C0-BGR2C806-TN31의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88AP320-C0-BGR2C806-TN31""}"
"88E111-CAA 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88E111-CAA""}"
88E111-CAA의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88E111-CAA""}"
88E111-CAA의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88E111-CAA""}"
"88E1111-B2-BAB1I000 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88E1111-B2-BAB1I000""}"
88E1111-B2-BAB1I000의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88E1111-B2-BAB1I000""}"
88E1111-B2-BAB1I000의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88E1111-B2-BAB1I000""}"
"88E1111-BO-BAB-C000 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88E1111-BO-BAB-C000""}"
88E1111-BO-BAB-C000의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88E1111-BO-BAB-C000""}"
88E1111-BO-BAB-C000의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88E1111-BO-BAB-C000""}"
"88E1322-A0-BAM2C000 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88E1322-A0-BAM2C000""}"
88E1322-A0-BAM2C000의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88E1322-A0-BAM2C000""}"
88E1322-A0-BAM2C000의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88E1322-A0-BAM2C000""}"
"88E3082-BAR1 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88E3082-BAR1""}"
88E3082-BAR1의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88E3082-BAR1""}"
88E3082-BAR1의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88E3082-BAR1""}"
"88F5182-A2-BEG1C500 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88F5182-A2-BEG1C500""}"
88F5182-A2-BEG1C500의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88F5182-A2-BEG1C500""}"
88F5182-A2-BEG1C500의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88F5182-A2-BEG1C500""}"
"88F6282-A1-BKI2C160 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""88F6282-A1-BKI2C160""}"
88F6282-A1-BKI2C160의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""88F6282-A1-BKI2C160""}"
88F6282-A1-BKI2C160의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""88F6282-A1-BKI2C160""}"
"98DX-BHA1 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""98DX-BHA1""}"
98DX-BHA1의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""98DX-BHA1""}"
98DX-BHA1의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""98DX-BHA1""}"
"98DX163RA2-BCW1C000 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""98DX163RA2-BCW1C000""}"
98DX163RA2-BCW1C000의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""98DX163RA2-BCW1C000""}"
98DX163RA2-BCW1C000의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""98DX163RA2-BCW1C000""}"
"98EX126-BDN 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""98EX126-BDN""}"
98EX126-BDN의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""98EX126-BDN""}"
98EX126-BDN의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""98EX126-BDN""}"
"A1028AOF 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A1028AOF""}"
A1028AOF의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A1028AOF""}"
A1028AOF의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A1028AOF""}"
"A3P060-FGG144 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A3P060-FGG144""}"
A3P060-FGG144의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A3P060-FGG144""}"
A3P060-FGG144의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A3P060-FGG144""}"
"A3P1000-2FG484 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A3P1000-2FG484""}"
A3P1000-2FG484의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A3P1000-2FG484""}"
A3P1000-2FG484의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A3P1000-2FG484""}"
"A3P250-2FGG144I 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A3P250-2FGG144I""}"
A3P250-2FGG144I의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A3P250-2FGG144I""}"
A3P250-2FGG144I의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A3P250-2FGG144I""}"
"A3P250-FGG144 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A3P250-FGG144""}"
A3P250-FGG144의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A3P250-FGG144""}"
A3P250-FGG144의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A3P250-FGG144""}"
"A54SX08A-2FG144I 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A54SX08A-2FG144I""}"
A54SX08A-2FG144I의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A54SX08A-2FG144I""}"
A54SX08A-2FG144I의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A54SX08A-2FG144I""}"
"A54SX16A-FG144 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A54SX16A-FG144""}"
A54SX16A-FG144의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A54SX16A-FG144""}"
A54SX16A-FG144의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A54SX16A-FG144""}"
"A54SX32A-FG144 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A54SX32A-FG144""}"
A54SX32A-FG144의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A54SX32A-FG144""}"
A54SX32A-FG144의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A54SX32A-FG144""}"
"A54SX32A-TQ176 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""A54SX32A-TQ176""}"
A54SX32A-TQ176의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""A54SX32A-TQ176""}"
A54SX32A-TQ176의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""A54SX32A-TQ176""}"
"AC82GL40-SLGGM 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AC82GL40-SLGGM""}"
AC82GL40-SLGGM의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AC82GL40-SLGGM""}"
AC82GL40-SLGGM의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AC82GL40-SLGGM""}"
"ACS9510T 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ACS9510T""}"
ACS9510T의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ACS9510T""}"
ACS9510T의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ACS9510T""}"
"AD6636BBCZ 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AD6636BBCZ""}"
AD6636BBCZ의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AD6636BBCZ""}"
AD6636BBCZ의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AD6636BBCZ""}"
"AD6657BBCZ 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AD6657BBCZ""}"
AD6657BBCZ의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AD6657BBCZ""}"
AD6657BBCZ의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AD6657BBCZ""}"
"AD9974BBCZ 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AD9974BBCZ""}"
AD9974BBCZ의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AD9974BBCZ""}"
AD9974BBCZ의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AD9974BBCZ""}"
"ADS5409IZAY 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADS5409IZAY""}"
ADS5409IZAY의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADS5409IZAY""}"
ADS5409IZAY의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADS5409IZAY""}"
"ADS62C15IRGCT 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADS62C15IRGCT""}"
ADS62C15IRGCT의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADS62C15IRGCT""}"
ADS62C15IRGCT의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADS62C15IRGCT""}"
"ADSP-21160M 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-21160M""}"
ADSP-21160M의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-21160M""}"
ADSP-21160M의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-21160M""}"
"ADSP-21369KBPZ-2A 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-21369KBPZ-2A""}"
ADSP-21369KBPZ-2A의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-21369KBPZ-2A""}"
ADSP-21369KBPZ-2A의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-21369KBPZ-2A""}"
"ADSP-21369KBPZ-3A 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-21369KBPZ-3A""}"
ADSP-21369KBPZ-3A의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-21369KBPZ-3A""}"
ADSP-21369KBPZ-3A의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-21369KBPZ-3A""}"
"ADSP-21MOD980N-000 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-21MOD980N-000""}"
ADSP-21MOD980N-000의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-21MOD980N-000""}"
ADSP-21MOD980N-000의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-21MOD980N-000""}"
"ADSP-BF524KBCZ-3 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-BF524KBCZ-3""}"
ADSP-BF524KBCZ-3의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-BF524KBCZ-3""}"
ADSP-BF524KBCZ-3의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-BF524KBCZ-3""}"
"ADSP-BF527KBCZ-6A 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-BF527KBCZ-6A""}"
ADSP-BF527KBCZ-6A의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-BF527KBCZ-6A""}"
ADSP-BF527KBCZ-6A의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-BF527KBCZ-6A""}"
"ADSP-BF532SBBC400 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-BF532SBBC400""}"
ADSP-BF532SBBC400의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-BF532SBBC400""}"
ADSP-BF532SBBC400의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-BF532SBBC400""}"
"ADSP-BF533SBBC500 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-BF533SBBC500""}"
ADSP-BF533SBBC500의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-BF533SBBC500""}"
ADSP-BF533SBBC500의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-BF533SBBC500""}"
"ADSP-BF533SBBZ500 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-BF533SBBZ500""}"
ADSP-BF533SBBZ500의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-BF533SBBZ500""}"
ADSP-BF533SBBZ500의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-BF533SBBZ500""}"
"ADSP-TS101SAB1Z-100 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ADSP-TS101SAB1Z-100""}"
ADSP-TS101SAB1Z-100의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ADSP-TS101SAB1Z-100""}"
ADSP-TS101SAB1Z-100의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ADSP-TS101SAB1Z-100""}"
"AG64BB1N 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AG64BB1N""}"
AG64BB1N의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AG64BB1N""}"
AG64BB1N의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AG64BB1N""}"
"AG64EB1N 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AG64EB1N""}"
AG64EB1N의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AG64EB1N""}"
AG64EB1N의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AG64EB1N""}"
"AGLP125V5-CSG289 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AGLP125V5-CSG289""}"
AGLP125V5-CSG289의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AGLP125V5-CSG289""}"
AGLP125V5-CSG289의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AGLP125V5-CSG289""}"
"AGS756KCA-050B-PFF-T 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AGS756KCA-050B-PFF-T""}"
AGS756KCA-050B-PFF-T의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AGS756KCA-050B-PFF-T""}"
AGS756KCA-050B-PFF-T의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AGS756KCA-050B-PFF-T""}"
"AGXD533EEXF0BC 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AGXD533EEXF0BC""}"
AGXD533EEXF0BC의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AGXD533EEXF0BC""}"
AGXD533EEXF0BC의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AGXD533EEXF0BC""}"
"AGXD533EEXF0BD 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AGXD533EEXF0BD""}"
AGXD533EEXF0BD의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AGXD533EEXF0BD""}"
AGXD533EEXF0BD의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AGXD533EEXF0BD""}"
"AK7903-L 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AK7903-L""}"
AK7903-L의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AK7903-L""}"
AK7903-L의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AK7903-L""}"
"ALT3800-B0 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ALT3800-B0""}"
ALT3800-B0의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ALT3800-B0""}"
ALT3800-B0의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ALT3800-B0""}"
"ALT6300-C0 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""ALT6300-C0""}"
ALT6300-C0의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""ALT6300-C0""}"
ALT6300-C0의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""ALT6300-C0""}"
"AM29DL323DT-90WDI 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AM29DL323DT-90WDI""}"
AM29DL323DT-90WDI의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AM29DL323DT-90WDI""}"
AM29DL323DT-90WDI의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AM29DL323DT-90WDI""}"
"AM29LV640DU90RWHIT 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AM29LV640DU90RWHIT""}"
AM29LV640DU90RWHIT의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AM29LV640DU90RWHIT""}"
AM29LV640DU90RWHIT의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AM29LV640DU90RWHIT""}"
"AM29LV800BB-120WBC 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AM29LV800BB-120WBC""}"
AM29LV800BB-120WBC의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AM29LV800BB-120WBC""}"
AM29LV800BB-120WBC의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AM29LV800BB-120WBC""}"
"AM29LV800BB-90WBCT 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AM29LV800BB-90WBCT""}"
AM29LV800BB-90WBCT의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AM29LV800BB-90WBCT""}"
AM29LV800BB-90WBCT의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AM29LV800BB-90WBCT""}"
"APA075-FG144 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""APA075-FG144""}"
APA075-FG144의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""APA075-FG144""}"
APA075-FG144의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""APA075-FG144""}"
"AR2313A-00 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AR2313A-00""}"
AR2313A-00의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AR2313A-00""}"
AR2313A-00의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AR2313A-00""}"
"AR9130-BC1E 제품의 설명, 표준원가, 표준판매가는?",PAT_e27f6b5d6d29,"{""part_number"": ""AR9130-BC1E""}"
AR9130-BC1E의 현재 재고 수량은?,PAT_9123093d870a,"{""part_number"": ""AR9130-BC1E""}"
AR9130-BC1E의 초기 재고 수량은?,PAT_23b105890303,"{""part_number"": ""AR9130-BC1E""}"
